Ranking,Title,Song Link,Artist(s),Artist Links
88,Love Lies,/wiki/Love_Lies_(song),"['Khalid', 'Normani']","['/wiki/Khalid_(singer)', '/wiki/Normani']"
89,One Thing Right,/wiki/One_Thing_Right,"['Marshmello', 'Kane Brown']","['/wiki/Marshmello', '/wiki/Kane_Brown']"
90,Cash Shit,/wiki/Cash_Shit,"['Megan Thee Stallion', 'DaBaby']","['/wiki/Megan_Thee_Stallion', '/wiki/DaBaby']"
91,Tequila,/wiki/Tequila_(Dan_%2B_Shay_song),['Dan + Shay'],['/wiki/Dan_%2B_Shay']
92,Shotta Flow,/wiki/Shotta_Flow,['NLE Choppa'],['/wiki/NLE_Choppa']
93,Hot Girl Summer,/wiki/Hot_Girl_Summer_(Megan_Thee_Stallion_song),"['Megan Thee Stallion', 'Nicki Minaj', 'Ty Dolla Sign']","['/wiki/Megan_Thee_Stallion', '/wiki/Nicki_Minaj', '/wiki/Ty_Dolla_Sign']"
94,Talk You Out of It,/wiki/Talk_You_Out_of_It,['Florida Georgia Line'],['/wiki/Florida_Georgia_Line']
95,Beautiful,/wiki/Beautiful_(Bazzi_song),"['Bazzi', 'Camila Cabello']","['/wiki/Bazzi_(singer)', '/wiki/Camila_Cabello']"
96,Eyes on You,/wiki/Eyes_on_You_(Chase_Rice_song),['Chase Rice'],['/wiki/Chase_Rice']
97,All to Myself,/wiki/All_to_Myself_(Dan_%2B_Shay_song),['Dan + Shay'],['/wiki/Dan_%2B_Shay']
98,Boyfriend,/wiki/Boyfriend_(Ariana_Grande_and_Social_House_song),"['Ariana Grande', 'Social House']","['/wiki/Ariana_Grande', '/wiki/Social_House']"
99,Walk Me Home,/wiki/Walk_Me_Home_(Pink_song),['Pink'],['/wiki/Pink_(singer)']
100,Robbery,/wiki/Robbery_(song),['Juice Wrld'],['/wiki/Juice_Wrld']
